timestamp,hours_from_start,breach_flow_cfs,breach_velocity_fts,breach_width_ft,breach_bottom_elev_ft
04SEP2026 03:03:00,3.0504,6540.48,5.293,328.0,170.0
04SEP2026 03:04:00,3.0671999999999997,6470.355,5.276,328.0,170.0
04SEP2026 03:05:00,3.084,6401.279,5.259,328.0,170.0
04SEP2026 03:06:00,3.1008000000000004,6333.173,5.242,328.0,170.0
04SEP2026 03:07:00,3.1175999999999995,6266.101,5.225,328.0,170.0
04SEP2026 03:08:00,3.1344,6199.944,5.209,328.0,170.0
04SEP2026 03:09:00,3.1512000000000002,6134.771,5.193,328.0,170.0
04SEP2026 03:10:00,3.1655999999999995,6070.501,5.177,328.0,170.0
04SEP2026 03:11:00,3.1824,6007.168,5.16,328.0,170.0
04SEP2026 03:12:00,3.1992000000000003,5944.723,5.145,328.0,170.0
04SEP2026 03:13:00,3.216,5883.159,5.129,328.0,170.0
04SEP2026 03:14:00,3.2327999999999997,5822.441,5.113,328.0,170.0
04SEP2026 03:15:00,3.2496,5762.627,5.098,328.0,170.0
04SEP2026 03:16:00,3.2664,5703.608,5.082,328.0,170.0
04SEP2026 03:17:00,3.2832,5645.414,5.067,328.0,170.0
04SEP2026 03:18:00,3.3000000000000003,5588.035,5.052,328.0,170.0
04SEP2026 03:19:00,3.3167999999999997,5531.468,5.037,328.0,170.0
04SEP2026 03:20:00,3.3335999999999997,5475.639,5.022,328.0,170.0
04SEP2026 03:21:00,3.3504,5420.609,5.008,328.0,170.0
04SEP2026 03:22:00,3.3672000000000004,5366.305,4.993,328.0,170.0
04SEP2026 03:23:00,3.3839999999999995,5312.757,4.979,328.0,170.0
04SEP2026 03:24:00,3.4008,5259.957,4.964,328.0,170.0
04SEP2026 03:25:00,3.4176,5207.834,4.95,328.0,170.0
04SEP2026 03:26:00,3.4344,5156.451,4.936,328.0,170.0
04SEP2026 03:27:00,3.4512,5105.733,4.922,328.0,170.0
04SEP2026 03:28:00,3.4656000000000002,5055.709,4.908,328.0,170.0
04SEP2026 03:29:00,3.4824,5006.345,4.895,328.0,170.0
04SEP2026 03:30:00,3.4992,4957.632,4.881,328.0,170.0
04SEP2026 03:31:00,3.516,4909.567,4.868,328.0,170.0
04SEP2026 03:32:00,3.5328,4862.146,4.854,328.0,170.0
04SEP2026 03:33:00,3.5496,4815.362,4.841,328.0,170.0
04SEP2026 03:34:00,3.5664000000000002,4769.183,4.828,328.0,170.0
04SEP2026 03:35:00,3.5831999999999997,4723.598,4.815,328.0,170.0
04SEP2026 03:36:00,3.5999999999999996,4678.609,4.802,328.0,170.0
04SEP2026 03:37:00,3.6168,4634.208,4.789,328.0,170.0
04SEP2026 03:38:00,3.6336000000000004,4590.394,4.777,328.0,170.0
04SEP2026 03:39:00,3.6504000000000003,4547.127,4.764,328.0,170.0
04SEP2026 03:40:00,3.6672,4504.406,4.752,328.0,170.0
04SEP2026 03:41:00,3.684,4462.261,4.739,328.0,170.0
04SEP2026 03:42:00,3.7008,4420.65,4.727,328.0,170.0
04SEP2026 03:43:00,3.7176,4379.546,4.715,328.0,170.0
04SEP2026 03:44:00,3.7344,4339.001,4.703,328.0,170.0
04SEP2026 03:45:00,3.7512,4298.954,4.691,328.0,170.0
04SEP2026 03:46:00,3.7656,4259.398,4.679,328.0,170.0
04SEP2026 03:47:00,3.7824,4220.363,4.668,328.0,170.0
04SEP2026 03:48:00,3.7992,4181.812,4.656,328.0,170.0
04SEP2026 03:49:00,3.816,4143.747,4.644,328.0,170.0
04SEP2026 03:50:00,3.8328,4106.126,4.633,328.0,170.0
04SEP2026 03:51:00,3.8495999999999997,4069.016,4.622,328.0,170.0
04SEP2026 03:52:00,3.8663999999999996,4032.316,4.611,328.0,170.0
04SEP2026 03:53:00,3.8832,3996.117,4.6,328.0,170.0
04SEP2026 03:54:00,3.9000000000000004,3960.324,4.589,328.0,170.0
04SEP2026 03:55:00,3.9168000000000003,3924.995,4.578,328.0,170.0
04SEP2026 03:56:00,3.9335999999999998,3890.097,4.567,328.0,170.0
04SEP2026 03:57:00,3.9504,3855.627,4.556,328.0,170.0
04SEP2026 03:58:00,3.9672,3821.583,4.546,328.0,170.0
04SEP2026 03:59:00,3.984,3787.929,4.535,328.0,170.0
